Net Income to Total Assets,Net worth/Assets,Persistent EPS in the Last Four Seasons,Retained Earnings to Total Assets,Net profit before tax/Paid-in capital,Per Share Net profit before tax (Yuan ¥),Working Capital to Total Assets,Net Income to Stockholder's Equity,Net Value Per Share (A),Operating Profit Per Share (Yuan ¥),Operating profit/Paid-in capital,CFO to Assets,Tax rate (A),Cash/Total Assets,Gross Profit to Sales,Equity to Long-term Liability,Current Liability to Equity,Liability to Equity,Current Liability to Current Assets,Borrowing dependency,Current Liability to Assets,Debt ratio %,Bankrupt
0.716845343217827,0.792423738549445,0.16914058806845,0.903224771166726,0.137757333534424,0.138736160277171,0.67277529248986,0.82789021403512,0.147949938898487,0.0959205276443286,0.0958848339765825,0.52038191789012,0.0,0.004094405952288,0.601453290101533,0.126549487816618,0.339077006789355,0.29020189277926,0.11825047660899,0.390284354359258,0.147308450425486,0.207576261450555,1
0.795297136043035,0.828823653898479,0.2089439349532,0.931065217577487,0.168961616770983,0.16991790314077,0.751110917003808,0.839969268005573,0.182251064009102,0.0937220096083381,0.0937433843047209,0.567101308703163,0.0,0.0149477269714099,0.610236525929872,0.120916105834965,0.329740147869877,0.283845979801729,0.0477752815903248,0.376760019951553,0.0569628274180797,0.171176346101521,1
0.774669696989803,0.792484203525108,0.180580504869056,0.90990336247412,0.148035593092527,0.142803344128945,0.829501914934622,0.836774308550174,0.177910749652353,0.0923377575116033,0.0923184653215431,0.538490539586983,0.0,0.0009909444511248,0.601449340486212,0.117922319423666,0.334776851319847,0.290188532942043,0.0253464891288078,0.379092920106557,0.0981620645437837,0.207515796474892,1
0.739554525158061,0.848535235964567,0.193722227474709,0.906902158837211,0.147560515798205,0.148602847028696,0.725754179688242,0.834697106753341,0.154186507100417,0.0777623971989252,0.0777272949338023,0.604105056187593,0.0,0.0188506248270314,0.583537612244893,0.12076045528683,0.33150897867186,0.281721192981814,0.0672496172630687,0.379742687599394,0.0987146304496934,0.151464764035432,1
0.79501587263578,0.893490945369894,0.212536636097192,0.91385019745186,0.167460975793681,0.168411538751224,0.751822452472965,0.839972745788203,0.167502422991024,0.0968976467714356,0.0969270604328497,0.578468903211134,0.0,0.0141609737513009,0.598781509888099,0.110933233663468,0.33072631939891,0.278513789880418,0.0477253717624306,0.375025442703033,0.110194845896651,0.106509054630105,1
0.710420495100948,0.819572512622064,0.174435095017491,0.903041267113845,0.137825201719327,0.138811478496648,0.686728646249993,0.829938957445841,0.15557709325355,0.0780881035746275,0.0781018450665234,0.622190123354673,0.0,0.0026452256427289,0.590172326668232,0.112917172167462,0.335534372009755,0.285087100359518,0.099521933114496,0.38144818747302,0.13900210638427,0.180427487377936,1
0.736619097683939,0.783898176980984,0.161482461945731,0.911441407767521,0.127939069451776,0.128944791745123,0.729416462238773,0.829979763773696,0.158821794277527,0.0999104307466819,0.0998664647352908,0.56065299962732,0.0,0.0229885979786101,0.619948867179148,0.120561366466385,0.337392013222506,0.292504124196417,0.060765124792415,0.384998982291879,0.115920411679634,0.216101823019016,0
0.815350392476567,0.891797926051335,0.22520563486811,0.935449309245632,0.179518889978131,0.180462453867591,0.797005213929915,0.841459439726482,0.176983692216931,0.104796026382216,0.104784470825802,0.610090811581399,0.157607045247495,0.0146159133960059,0.601739340003798,0.114507968841708,0.329803725937385,0.278607305606177,0.0302011045942807,0.374219104729994,0.0870418011288855,0.108202073948665,0
0.803647289792132,0.941409438582701,0.218398411647915,0.935200209287994,0.172158962370862,0.173156586578293,0.813737522948239,0.840486633095349,0.184189456828621,0.0951876882989984,0.0952090152588467,0.574032785264356,0.0058710395789047,0.145189217702725,0.603613451066988,0.110933233663468,0.328092755880752,0.276422514083071,0.021710461445184,0.370253398138601,0.0580597284096259,0.058590561417299,0
0.804194656500343,0.878707258820328,0.217831143046232,0.938289896761562,0.175657944348088,0.176621224674249,0.825695870708439,0.840688177069564,0.177447220934642,0.109844475205602,0.109873467194294,0.645146286139048,0.392448628403685,0.0087727909152724,0.599205074060972,0.11549897825205,0.330409487644987,0.279387518743906,0.0254943019553504,0.374508760118367,0.0945633028255581,0.121292741179672,0
0.814110614307489,0.896423496689543,0.218965680249598,0.942828956208544,0.177611039891411,0.178579498380658,0.75120434292108,0.841337129150271,0.1829252875985,0.0964905138018077,0.0964710863582328,0.574845683140932,0.0,0.0020568362370428,0.614021192921905,0.120942626541559,0.327484654084158,0.278356431683457,0.0471663480130232,0.374179962109944,0.0320868027606662,0.103576503310457,0
0.804886952966321,0.905614172990295,0.204689420440579,0.93295521516369,0.171525525978433,0.172478722602998,0.769113889446861,0.840649731622796,0.173865408115966,0.0960019542382542,0.0959662579184783,0.582902675851972,0.0,0.0205422288308614,0.623709203433841,0.116458578430907,0.328042000740244,0.277892081792766,0.0337116016801524,0.373113046123427,0.0479948129460321,0.0943858270097046,0
0.803260160615522,0.855337545726638,0.219343859317387,0.930139634781563,0.173290098785914,0.174286359870453,0.760000221809245,0.840702415877267,0.169398676836206,0.104877452976142,0.104857752373508,0.588644148965369,0.185241421196477,0.0582180014761003,0.608125444361497,0.116955694935558,0.331114214993752,0.281113383864046,0.0435139896178212,0.377306898271686,0.0956718995297444,0.144662454273362,0
0.794157852517078,0.893430480394232,0.212914815164981,0.930763202677411,0.167860643993666,0.168863448068088,0.791909626507644,0.839910496767797,0.171547764527411,0.0960019542382542,0.0959581155242887,0.601900489663552,0.0,0.0741698566235507,0.600577557889821,0.113571080191011,0.329035251137398,0.278517752959524,0.0289016723593667,0.373151070382904,0.0691661659638453,0.106569519605768,0
0.819715357306136,0.910360673579829,0.226434716838423,0.94025165752662,0.177920217178192,0.178880771258567,0.802390919116921,0.841623679912454,0.180565505035607,0.103167494503705,0.103180419170453,0.609617682005473,0.0,0.021194016958275,0.604682899860406,0.119471450608925,0.327227478764221,0.27766768513616,0.0155531326728028,0.373692356900173,0.027638023218934,0.0896393264201711,0
0.815418713855725,0.900928137376425,0.223787463363903,0.933540910463702,0.179828067264912,0.182420727574,0.7919906610319,0.841399049949549,0.174328936833677,0.110333034769156,0.110313156480532,0.617759469492103,0.258730640753113,0.0037668242316719,0.621768957574094,0.118419700253211,0.328300316444762,0.278123542773057,0.0258128487067077,0.373544733304554,0.0533853563563156,0.0990718626235753,0
0.810421134587852,0.938718747165704,0.220194762219911,0.942018218547371,0.175167785234899,0.176169315357385,0.752032218453819,0.840888957443775,0.183852345033922,0.0957576744564775,0.0957545556695491,0.567470422046099,0.0294564227148497,0.0528667007517992,0.606524037213732,0.113682405362067,0.327470954255664,0.276517862314948,0.0462912301964762,0.372267565530338,0.0387616550386571,0.0612812528342957,0
0.826642041201762,0.921274601686973,0.233052850524723,0.948858906532939,0.188288967649499,0.189274685546434,0.816363501604604,0.841983321753659,0.189541106569466,0.114160084683658,0.114172651326396,0.600655219799222,0.217430914060128,0.013907170944156,0.618451695960642,0.11598298755793,0.327786671384638,0.277189778453972,0.0181566375652698,0.372724975004641,0.0446373780123085,0.0787253983130272,0
0.806263914593922,0.858663119388094,0.220005672686017,0.935009281984505,0.175062212502828,0.17601867891843,0.766580251219532,0.840954675675957,0.175129577346087,0.102108948782672,0.102113765531617,0.621793071674381,0.0955562303876911,0.0128012850229898,0.598344963815982,0.122290518681601,0.330593494077527,0.280838654876666,0.0400836626660674,0.378709322430063,0.0874131414741735,0.141336880611906,0
